Utilidad Operacional del Trimestre / Activo Total,Utilidad Operacional del Trimestre / Activo Total (Promedio LTM),Margen EBITDA del Trimestre,Margen EBITDA del Trimestre (Promedio LTM),Margen Neto del Trimestre,Margen Neto del Trimestre (Promedio LTM),Utilidad Neta del Trimestre Anualizada / Total Patrimonio,Utilidad Neta del Trimestre Anualizada / Total Patrimonio (Promedio LTM),Total Activo / Total Patrimonio,Total Activo / Total Patrimonio (Promedio LTM),Deuda Neta / EBITDA del Trimestre Anualizado,Deuda Neta / EBITDA del Trimestre Anualizado (Promedio LTM),Deuda de Corto Plazo / Deuda Total,Deuda de Corto Plazo / Deuda Total (Promedio LTM),Deuda Bruta / Activo,Deuda Bruta / Activo (Promedio LTM),EBITDA del Trimestre Anualizado / Intereses,EBITDA del Trimestre Anualizado / Intereses (Promedio LTM),EBITDA del Trimestre Anualizado / Deuda Corto Plazo,EBITDA del Trimestre Anualizado / Deuda Corto Plazo (Promedio LTM),Crecimiento del EBITDA Últimos 12 Meses EBITDA,Crecimiento del EBITDA Últimos 12 Meses EBITDA (Promedio LTM),Ingresos del Trimestre Anualizados / Total Activo,Ingresos del Trimestre Anualizados / Total Activo (Promedio LTM),Activo Corto Plazo / Pasivo Corto Plazo,Activo Corto Plazo / Pasivo Corto Plazo (Promedio LTM),Rating Soberano País de Origen Deuda LP Moneda Extranjera,Periodo,Rating Predicc,Rating Local Trad
2.81E-02,2.97E-02,0.443174586,0.464675099,0.187363172,0.200917086,0.347329882,0.369380837,5.790362847,5.758758244,4.466255872,4.282043353,4.01E-02,3.01E-02,0.633680857,0.634319497,5.186151325,5.422406778,5.682840737,8.355616235,5.58E-03,-5.52E-02,0.323304661,0.316858038,0.929817154,1.029126077,BBB+,1T22,BB,A
2.79E-02,2.95E-02,0.439853818,0.45968349,0.184374357,0.19810625,0.345284575,0.366937251,5.839802531,5.778581349,4.526983893,4.31397271,4.08E-02,3.53E-02,0.638551328,0.634611866,5.080647851,5.373510072,5.573052205,6.917815171,2.06E-02,-0.023740478,0.320148993,0.319223694,0.917090846,0.980425122,BBB+,2T22,BB,A
2.75E-02,2.88E-02,0.436411168,0.451048429,0.182237969,0.19262551,0.340376511,0.358590593,5.84543259,5.802286053,4.573735832,4.400097215,4.16E-02,3.90E-02,0.63778014,0.635535514,4.987547322,5.250698277,5.444700327,6.054543145,9.41E-03,4.96E-04,0.32068489,0.320623014,0.931607326,0.946314971,BBB+,3T22,BB,A
2.69E-02,2.76E-02,0.431857756,0.437824332,0.179374208,0.183337426,0.333526436,0.341629351,5.861741594,5.834334891,4.652170466,4.554786516,3.89E-02,4.04E-02,0.637294164,0.636826622,4.891267677,5.036403544,5.757111152,5.614426105,-4.20E-02,-1.61E-03,0.319524423,0.320915742,0.949652378,0.932041926,BBB+,4T22,BB,A
2.52E-02,2.69E-02,0.424306555,0.433107324,0.170940696,0.179231807,0.309182333,0.332092464,5.89503637,5.860503271,4.903468063,4.664089563,3.62E-02,3.94E-02,0.638360205,0.637996459,4.641342324,4.900201293,5.909492264,5.671088987,-7.67E-02,-2.22E-02,0.31720761,0.319391479,0.970658818,0.942252342,BBB+,1T23,BB,A
2.69E-02,2.66E-02,0.435393075,0.431992138,0.181565071,0.178529486,0.334989341,0.329518655,5.881590148,5.870950176,4.671207844,4.700145551,3.34E-02,3.75E-02,0.637991123,0.637856408,4.872995134,4.848288114,6.746069945,5.964343422,-0.084363536,-4.84E-02,0.306819327,0.316059062,0.995861815,0.961945084,BBB+,2T23,BB,A
2.85E-02,2.69E-02,0.446251964,0.434452338,0.191979045,0.180964755,0.356534069,0.333558045,5.793475561,5.857960918,4.441363408,4.667052445,3.04E-02,3.47E-02,0.635337486,0.637245744,5.109908324,4.878878365,7.791298259,6.550992905,-0.064981965,-6.70E-02,0.313692349,0.314310927,0.997012116,0.978296282,BBB+,3T23,BB,A
3.03E-02,0.027740973,0.457942866,0.440973615,0.203183324,0.186917034,0.38027882,0.345246141,5.715121869,5.821305987,4.221675144,4.559428615,3.09E-02,3.27E-02,0.633118042,0.636201714,5.372386631,4.999158103,8.096179686,7.135760038,-9.36E-03,-0.058840439,0.32055904,0.314569582,1.002448743,0.991495373,BBB+,4T23,BB,A
3.37E-02,2.99E-02,0.477909279,0.454374296,0.222283179,0.199752655,0.425550355,0.374338146,5.601551402,5.747934745,3.850118433,4.296091207,3.15E-02,0.031561416,0.628862336,0.633827247,5.872276805,5.306891723,8.743543706,7.844272899,0.074304559,-2.11E-02,0.327482864,0.317138395,1.005877419,1.000300023,BBB+,1T24,BB,A
3.32E-02,0.031430438,0.47448662,0.464147682,0.220128199,0.209393437,0.413915584,0.394069707,5.53770036,5.661962298,3.886744928,4.099975478,3.20E-02,3.12E-02,0.62620518,0.630880761,5.814503867,5.542268907,8.548645979,8.294916907,1.30E-01,0.032515404,0.341771648,0.325876476,1.003405909,1.002186047,BBB+,2T24,BB,A
2.83E-02,3.14E-02,0.441936297,0.463068766,0.192547257,0.20953549,0.347878246,0.391905751,5.64260521,5.62424471,4.446993396,4.101382975,3.25E-02,0.031734845,0.62926913,0.629363672,5.121841748,5.545252263,7.431923137,8.205073127,0.122137655,7.93E-02,0.339552275,0.332341457,1.001912278,1.003411087,BBB+,3T24,BB,A
