Fecha,Ticker,Ratio1,Ratio2,Ratio3,Ratio4,Ratio5,Ratio6,Ratio7,Ratio8,Ratio9,Ratio10,Ratio11,Ratio12,Ratio13,Ratio14,Ratio15,Ratio16,Ratio17,Ratio18,Ratio19,Ratio20,Ratio21,Ratio22,Ratio23,Ratio24,Ratio25,Ratio26,IssuerRating,SovereignRating
31/12/2012,IQ20504010,NaN,NaN,NaN,0.227724798,0.301980142,NaN,0,1.643702971,NaN,NaN,NaN,1.901670629,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,BBB-,BBB+
31/03/2013,IQ20504010,0.006495762,0.126558,2.587306024,0.227923012,0.290142387,8.704167864,0.795518126,1.63103181,-36.7703,0.15027439,0.415680673,1.876551409,13.6748,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,BBB-,BBB+
30/06/2013,IQ20504010,NaN,NaN,NaN,0.181344826,0.331003492,NaN,0,1.964946917,NaN,NaN,NaN,1.973996083,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,BBB-,BBB+
30/09/2013,IQ20504010,0.014434292,0.216462,1.650706669,0.115161488,0.310879839,16.77370762,2.30116669,2.224857321,9.8707,0.141465395,0.380597768,1.890135525,12.3736,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,BBB-,BBB+
31/12/2013,IQ20504010,NaN,NaN,NaN,0.13077247,0.305250876,NaN,0,2.0013516,NaN,NaN,NaN,1.872603651,NaN,0.010465027,0.17151,2.119006346,0.176585319,0.307851347,12.73893774,0.619336963,1.893178124,-13.4498,0.145869892,0.39813922,1.902991459,13.0242,BBB-,BBB+
31/03/2014,IQ20504010,0.011575431,0.212136,1.840588921,0.224046692,0.322631193,16.48827609,1.129566166,1.67687039,83.8079,0.142623033,0.38489493,1.931546906,15.7776,0.010835162,0.185052,2.026200538,0.175849698,0.311981557,13.98871719,0.845250197,1.899811608,18.96943333,0.144787606,0.393724457,1.908966715,13.942,BBB-,BBB+
30/06/2014,IQ20504010,NaN,NaN,NaN,0.226777146,0.313113155,NaN,0,1.797931821,NaN,NaN,NaN,1.900560244,NaN,0.013004862,0.214299,1.745647795,0.175620524,0.316575711,16.63099186,0.686146571,1.93319161,46.8393,0.142044214,0.382746349,1.913768482,14.0756,BBB-,BBB+
30/09/2014,IQ20504010,0.009679666,0.170998,2.543816661,0.235370011,0.30956191,12.56671,0.868199603,1.749997893,-7.7745,0.153575809,0.369936511,1.871273894,11.574,0.011896463,0.199865333,2.011704083,0.186425561,0.312287395,15.27623124,0.859786492,1.890201805,28.6347,0.145888079,0.378476403,1.893224044,13.24173333,BBB-,BBB+
31/12/2014,IQ20504010,NaN,NaN,NaN,0.216459122,0.350466815,NaN,0,1.879733648,NaN,NaN,NaN,2.001045027,NaN,0.010627549,0.191567,2.192202791,0.206685088,0.32020479,14.52749304,0.399553154,1.82117707,38.0167,0.148099421,0.377415721,1.915405944,13.6758,BBB-,BBB+
31/03/2015,IQ20504010,0.000117557,0.075848,10.0087369,0.108585666,0.326640719,4.062085031,0.567989021,2.205416039,-75.0961,0.020052201,0.265606458,1.93280564,1.184,0.007124218,0.152994,4.797714159,0.202247727,0.324482758,11.03902371,0.513150958,1.861989958,0.312433333,0.105417014,0.340145967,1.927446342,9.511866667,BB+,BBB
30/06/2015,IQ20504010,0.007625741,0.13861,3.921752622,0.081055184,0.318141146,13.66079743,2.011805167,3.166378794,-35.2213,0.072197007,0.374276012,1.898743299,6.4508,0.005807655,0.128485333,5.491435393,0.173649426,0.323584749,10.09653082,0.689598758,2.159891639,-39.36396667,0.081941672,0.336606327,1.920885621,6.402933333,BB+,BBB
30/09/2015,IQ20504010,0.002150772,0.101874,9.651140302,0.099746127,0.357703631,6.004592169,0.676250557,3.039014009,-53.2176,0.133408752,0.236844697,2.079558174,11.2812,0.004893434,0.1218325,6.53136162,0.148243222,0.332502844,9.073546157,0.82484887,2.408108077,-42.827375,0.094808442,0.31166592,1.956685207,7.6225,BB+,BBB
31/12/2015,IQ20504010,-0.048194632,NaN,NaN,0.091841967,0.301491307,NaN,NaN,2.627815691,NaN,-0.25199781,-0.355627283,1.758513136,-28.1544,-9.58E-03,0.105444,7.860543273,0.119537613,0.330888724,7.90915821,0.814011186,2.583671636,-54.51166667,-0.006584963,0.130274971,1.934133055,-2.3096,BB+,BBB
31/03/2016,IQ20504010,-0.010428502,-0.250226,NaN,0.097654352,0.298304651,-5.551376919,-0.83843962,2.437673802,NaN,0.091562956,0.097609252,1.761378248,-8.3116,-0.009745813,0.0165265,7.860543273,0.095776659,0.320456291,4.544024428,0.604401281,2.695259667,-54.51166667,0.013044621,0.123741827,1.8861997,-3.51,BB,BBB-
30/06/2016,IQ20504010,0.00105431,0.129858,3.761592961,0.094675037,0.267737227,5.080905769,0.751221314,3.136906371,NaN,0.133519697,0.146636956,1.905519556,-0.3208,-0.009558462,0.030029,5.778161961,0.092994533,0.308675592,4.798729612,0.650209354,2.881557733,-44.21945,0.03573812,0.099947927,1.880742483,-3.81096,BB,BBB-
30/09/2016,IQ20504010,0.00168273,0.139818,3.139814128,0.088472176,0.2594907,6.056087793,0.987815767,2.679496099,NaN,0.182410941,0.162196462,1.898803167,1.23,-0.010747064,0.030331,5.517515797,0.094477932,0.296945503,2.897552203,0.394212004,2.784181194,-53.2176,0.057780907,0.057532017,1.880754456,-4.85512,BB,BBB-
31/12/2016,IQ20504010,0.00478183,0.156315,2.356751236,0.119262451,0.258564335,8.785581743,1.171174823,2.321413945,NaN,0.200070479,0.231043324,1.892730886,7.2244,-0.010220853,0.04394125,3.086052775,0.098381197,0.277117644,3.592799596,0.517943071,2.640661181,NaN,0.071113253,0.056371742,1.843388999,-5.66648,BB,BBB-
31/03/2017,IQ20504010,-0.000950811,0.067498,5.861685238,0.131576012,0.252831955,3.269621986,0.413337911,2.164150356,NaN,0.172835596,0.203715005,1.860010608,0.0384,-0.000772089,0.0486526,3.779960891,0.106328006,0.267385774,3.528164074,0.497022039,2.547928114,NaN,0.156079934,0.1682402,1.863688493,-0.02792,BB,BBB-
30/06/2017,IQ20504010,-0.00013156,0.058829,7.778866472,0.064919656,0.302304245,2.249357434,0.525646576,2.795558379,-7.0979,0.254568968,0.175356887,1.971999088,1.6104,0.0012873,0.1104636,4.579742007,0.099781067,0.268185692,5.088310945,0.769839278,2.61950503,-7.0979,0.188681136,0.183789727,1.905812661,1.95648,BB,BBB-
30/09/2017,IQ20504010,-0.011673242,-0.19068,NaN,0.200639885,0.323364945,-6.813274209,-0.498147639,2.048322485,NaN,0.227152284,0.169497439,2.022621114,-5.0976,-0.001258211,0.046356,4.784279268,0.120974036,0.279311236,2.709474949,0.519965488,2.401788253,-7.0979,0.207407653,0.188361824,1.929232972,1.00112,BB,BBB-
31/12/2017,IQ20504010,-0.015524088,-0.233455,NaN,0.18349133,0.310965735,-10.46093403,-0.908515353,2.11743429,NaN,0.087190569,0.222053273,2.021737338,-12.7884,-0.004699574,-0.0282986,5.332434315,0.139977867,0.289606243,-0.593929416,0.140699264,2.289375891,-7.0979,0.188363579,0.200333186,1.953819807,-1.80256,BB-,BBB-
31/03/2018,IQ20504010,-0.010009235,-0.094005,NaN,0.193938937,0.317723827,-4.492696254,-0.376919688,1.802665212,NaN,0.256294994,0.247065819,2.082033888,-4.5536,-0.007657787,-0.0783626,6.820275855,0.154913164,0.301438142,-3.249585015,-0.168919639,2.185626144,-7.0979,0.199608482,0.203537685,1.991680407,-4.15816,BB-,BBB-
30/06/2018,IQ20504010,0.013121679,0.156767,1.87053921,0.203393793,0.332925432,6.681510779,1.288251865,1.647321031,65.5492,0.077998015,0.55645596,2.109500667,10.0776,-0.004843289,-0.0605088,4.824702841,0.16927672,0.317456837,-2.567207257,0.006063152,2.08226028,29.22565,0.180640966,0.274085876,2.041578419,-2.15032,BB-,BBB-
30/09/2018,IQ20504010,0.017957394,0.168593,1.80151732,0.119570763,0.299913586,19.98508574,2.536162897,1.742946543,96.1837,0.14903251,0.539459377,1.98802714,17.6056,-0.001225498,-0.038556,1.836028265,0.180206942,0.316978705,0.979938404,0.408166416,1.871737912,80.86645,0.159533674,0.346906374,2.04478403,1.04872,BB-,BBB-
31/12/2018,IQ20504010,0.004896839,0.122151,2.557815942,0.07959816,0.296336414,12.83379853,2.634053547,1.77263019,81.032,0.039319373,0.508645987,1.962081133,1.94,0.002088518,0.0240102,2.076624157,0.155998597,0.311572999,4.909352952,1.034606654,1.816599453,80.92163333,0.121967092,0.414736083,2.032676033,2.45624,BB-,BBB-
31/12/2012,IQT261467408,0.02308972,0.215459,0.760152407,0.292563143,0.213936384,33.31137425,3.248591253,0.876636407,48.2129,0.054023964,0.94370161,2.557549584,13.4832,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,B-
31/03/2013,IQT261467408,0.029579027,0.254481,0.749842004,0.246898263,0.216476908,31.19736154,4.144198343,0.934658955,9.7685,0.067511001,0.870391779,2.525882665,15.444,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,B-
30/06/2013,IQT261467408,0.013838687,0.179937,1.19889887,0.217172766,0.24441579,19.32924219,3.020656249,0.985689683,3.1078,0.024383574,0.891077448,2.701371366,5.9804,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,B-
30/09/2013,IQT261467408,0.030951739,0.271448,0.728348381,0.23492867,0.234348881,28.15394786,4.297084761,0.913479989,65.7265,0.058323709,0.871537701,2.736394265,14.6984,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,CCC+
31/12/2013,IQT261467408,0.021630591,0.254408,0.82272779,0.276387582,0.235185663,17.47453076,2.920352145,1.051999512,52.9593,0.07582826,0.746163207,2.810841625,16.8992,0.023817953,0.2351466,0.85199389,0.253590085,0.228872725,25.89329132,3.52617655,0.952492909,35.955,0.056014102,0.864574349,2.666407901,13.30104,NaN,CCC+
31/03/2014,IQT261467408,0.025691514,0.272632,1.063428605,0.28546677,0.22661744,21.3264991,3.029255421,0.934882314,76.2969,0.093953822,0.718799812,2.739884393,20.1736,0.024338312,0.2465812,0.91264913,0.25217081,0.231408936,23.49631629,3.482309384,0.964142091,41.5718,0.064000073,0.819593989,2.702874863,14.63912,NaN,CCC+
30/06/2014,IQT261467408,0.030246841,0.287517,0.855067026,0.235868459,0.247542846,20.91194155,3.729408209,1.042940066,104.3863,0.043192754,0.757350025,2.882935496,9.7192,0.024471875,0.2531884,0.933694134,0.24996485,0.237622124,21.43923229,3.399351357,0.985798313,60.49536,0.059136424,0.796985639,2.774285429,13.49416,NaN,CCC-
30/09/2014,IQT261467408,0.039656215,0.354628,0.613377232,0.252962254,0.239585975,30.22862521,4.362167003,0.983473809,103.1788,0.084063964,0.745497825,2.914503426,19.066,0.02963538,0.2881266,0.816589807,0.257122747,0.236656161,23.6191089,3.667653508,0.985355138,80.50956,0.071072502,0.767869714,2.816911841,16.11128,NaN,SD
31/12/2014,IQT261467408,0.00518331,0.200747,1.305010784,0.26924247,0.236413591,14.91336818,2.282784492,0.788891804,41.4224,0.03664644,0.723822128,2.865500611,7.2664,0.024481694,0.2739864,0.931922288,0.263985507,0.237069103,20.97099296,3.264793454,0.960437501,75.64874,0.066737048,0.738326599,2.84273311,14.62488,NaN,SD
31/03/2015,IQT261467408,0.02077028,0.294824,1.116144032,0.261019818,0.256199915,20.44152337,2.764383261,0.802671334,21.0769,0.061293297,0.627029371,2.862052025,11.238,0.024309632,0.2820696,0.990605536,0.260911954,0.241271954,21.56439148,3.233599677,0.910571865,69.27226,0.063830055,0.714499832,2.85297519,13.49264,NaN,SD
30/06/2015,IQT261467408,0.023124694,0.307682,1.123636183,0.205160935,0.285808452,18.39905801,3.442018347,0.946739838,16.313,0.058068104,0.655965242,2.950052589,11.5536,0.023796268,0.2890796,1.002647052,0.244850787,0.253110156,20.97890327,3.316152262,0.91294337,57.27548,0.056652912,0.701932918,2.89500883,11.76864,NaN,SD
30/09/2015,IQT261467408,0.021938591,0.307615,1.278473778,0.20891476,0.293161284,20.97624251,3.203814139,0.928423162,-6.484,0.045198016,0.637874945,2.956426087,8.94,0.022134618,0.2930992,1.087328402,0.239460047,0.262233844,20.99176346,3.211033448,0.890039989,35.10142,0.057053964,0.678037902,2.909706948,11.6128,NaN,SD
31/12/2015,IQT261467408,0.008515544,0.266619,2.050933204,0.26304243,0.290961968,27.83169299,1.569828748,0.964682734,44.0997,-0.041395985,0.450633232,3.017183985,-7.198,0.015906484,0.2754974,1.374839596,0.241476083,0.272509042,20.51237701,2.652565797,0.886281774,23.2856,0.031961975,0.619064984,2.930243059,6.36,NaN,SD
