Ticker,Fecha,Ratio1,Ratio2,Ratio3,Ratio4,Ratio5,Ratio6,Ratio7,Ratio8,Ratio9,Ratio10,Ratio11,Ratio12,Ratio13,Ratio14,Ratio15,Ratio16,Ratio17,Ratio18,Ratio19,Ratio20,Ratio21,Ratio22,Ratio23,Ratio24,Ratio25,Ratio26,IssuerRating,SovereignRating
IQ20504010,31/12/2012,,,,0.227724798,0.301980142,,0.0,1.643702971,,,,1.901670629,,,,,,,,,,,,,,,BBB-,BBB+
IQ20504010,31/03/2013,0.0064957619999999995,0.126558,2.587306024,0.22792301199999998,0.290142387,8.704167864,0.7955181259999999,1.63103181,-36.7703,0.15027439,0.41568067299999995,1.8765514090000002,13.6748,,,,,,,,,,,,,,BBB-,BBB+
IQ20504010,30/06/2013,,,,0.18134482600000001,0.331003492,,0.0,1.9649469169999998,,,,1.973996083,,,,,,,,,,,,,,,BBB-,BBB+
IQ20504010,30/09/2013,0.014434292,0.216462,1.650706669,0.115161488,0.310879839,16.77370762,2.30116669,2.224857321,9.8707,0.141465395,0.38059776799999995,1.890135525,12.3736,0.010465027,0.17151,2.119006346,0.188038531,0.308501465,12.73893774,0.7741712040000001,1.866134755,-13.4498,0.145869892,0.39813922,1.9105884119999998,13.0242,BBB-,BBB+
IQ20504010,31/12/2013,,,,0.13077247,0.305250876,,0.0,2.0013516,,,,1.872603651,,0.010465027,0.17151,2.119006346,0.16380044900000001,0.30931914899999996,12.73893774,0.7741712040000001,1.955546912,-13.4498,0.145869892,0.39813922,1.903321667,13.0242,BBB-,BBB+
IQ20504010,31/03/2014,0.011575431,0.21213600000000002,1.840588921,0.224046692,0.322631193,16.48827609,1.129566166,1.67687039,83.8079,0.142623033,0.38489493,1.931546906,15.7776,0.013004861999999999,0.214299,1.745647795,0.162831369,0.31744135,16.63099186,0.857683214,1.967006557,46.8393,0.142044214,0.382746349,1.917070541,14.0756,BBB-,BBB+
IQ20504010,30/06/2014,,,,0.226777146,0.313113155,,0.0,1.797931821,,,,1.900560244,,0.013004861999999999,0.214299,1.745647795,0.174189449,0.312968766,16.63099186,0.857683214,1.9252527830000001,46.8393,0.142044214,0.382746349,1.8987115819999998,14.0756,BBB-,BBB+
IQ20504010,30/09/2014,0.009679666,0.170998,2.543816661,0.23537001100000002,0.30956191,12.56671,0.868199603,1.7499978930000002,-7.7745,0.153575809,0.369936511,1.871273894,11.574000000000002,0.010627548999999998,0.19156700000000002,2.192202791,0.20424158,0.31263928399999996,14.52749304,0.499441442,1.8065379259999998,38.0167,0.148099421,0.37741572100000004,1.893996174,13.6758,BBB-,BBB+
IQ20504010,31/12/2014,,,,0.216459122,0.350466815,,0.0,1.8797336480000002,,,,2.001045027,,0.010627548999999998,0.19156700000000002,2.192202791,0.225663243,0.323943268,14.52749304,0.499441442,1.776133438,38.0167,0.148099421,0.37741572100000004,1.926106518,13.6758,BBB-,BBB+
IQ20504010,31/03/2015,0.00011755700000000001,0.075848,10.0087369,0.108585666,0.32664071899999997,4.0620850310000005,0.567989021,2.205416039,-75.0961,0.020052201000000002,0.265606458,1.93280564,1.1840000000000002,0.004898612,0.123423,6.276276779,0.196797986,0.32494565,8.314397515,0.35904715600000003,1.90826985,-41.4353,0.086814005,0.317771485,1.926421201,6.379,BB+,BBB
IQ20504010,30/06/2015,0.007625741,0.13860999999999998,3.921752622,0.081055184,0.31814114600000004,13.66079743,2.011805167,3.166378794,-35.2213,0.07219700700000001,0.37427601200000005,1.8987432990000002,6.4508,0.005807655,0.128485333,5.491435393,0.160367496,0.326202648,10.09653082,0.8619984479999999,2.2503815940000003,-39.36396667,0.08194167200000001,0.33660632700000004,1.925966965,6.402933332999999,BB+,BBB
